,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,total_words,unique_words,duration_min,mode,key_0,key_1,key_2,key_4,key_5,key_6,key_7,key_8,key_9,key_10,key_11,time_signature_3,time_signature_4,time_signature_5,class
0,0.384,0.969,-3.903,0.0985,0.00236,0.0,0.277,0.374,0.18781490477201102,0.21809369951534735,0.22110552763819094,0.6263157894736843,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,0.338,0.919,-5.538,0.316,0.00391,0.000251,0.307,0.464,0.7363485588071152,0.36025848142164785,0.5577889447236181,0.968421052631579,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2,0.374,0.99,-4.092,0.38,0.00673,3.45e-06,0.25,0.336,0.43388277092618366,0.1599353796445881,0.07537688442211055,0.5763157894736842,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
3,0.43,0.963,-4.803,0.161,0.00347,0.0,0.298,0.268,0.36007420158621606,0.2956381260096931,0.27638190954773867,0.6763157894736842,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
4,0.291,0.971,-4.066,0.301,0.00926,0.0,0.287,0.408,0.549940654451702,0.17447495961227788,0.321608040201005,0.4657894736842104,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5,0.454,0.977,-5.05,0.135,0.00236,7.89e-05,0.418,0.115,0.2716375441161444,0.07592891760904684,0.24623115577889446,0.4236842105263158,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
6,0.298,0.98,-3.823,0.227,0.00109,0.0,0.224,0.356,0.4326486979350894,0.024232633279483037,0.15075376884422112,0.3236842105263157,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7,0.321,0.987,-4.426,0.333,0.00763,0.0,0.343,0.266,0.45003576453572913,0.15508885298869146,0.37688442211055273,0.6526315789473683,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
8,0.459,0.98,-5.051,0.132,0.00258,7.04e-05,0.236,0.476,0.29794609380526804,0.20355411954765756,0.39698492462311563,0.6157894736842106,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
9,0.444,0.963,-3.565,0.108,0.000617,0.0,0.202,0.418,0.9205162669685036,0.2649434571890146,0.44723618090452266,0.6473684210526315,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
10,0.543,0.968,-4.028,0.0702,0.0002,0.0,0.539,0.494,0.16520857405616995,0.2536348949919225,0.20100502512562815,0.5763157894736842,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
11,0.628,0.886,-3.805,0.0608,0.000706,0.0,0.275,0.72,0.4361386877952538,0.3424878836833603,0.321608040201005,0.5631578947368421,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
12,0.48,0.929,-3.931,0.0826,0.00163,0.0,0.341,0.624,0.14212276275143265,0.26009693053311794,0.33668341708542715,0.6736842105263158,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
13,0.606,0.899,-4.299,0.0524,0.00264,0.0,0.584,0.379,0.19414247647793992,0.2827140549273021,0.29648241206030146,0.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
14,0.604,0.966,-3.958,0.0625,0.000152,4.95e-05,0.285,0.597,0.20494258023439538,0.26978998384491115,0.33668341708542715,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
15,0.63,0.946,-4.22,0.106,0.000383,0.0,0.404,0.539,0.2662689335880083,0.4119547657512117,0.507537688442211,0.6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
16,0.498,0.958,-3.454,0.103,4.59e-05,0.0,0.0841,0.753,0.05741976560473516,0.407108239095315,0.35678391959798994,0.6078947368421053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
17,0.464,0.967,-3.501,0.136,0.000142,2.17e-05,0.269,0.669,0.7463862098238496,0.3893376413570275,0.3718592964824121,0.5078947368421053,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
18,0.597,0.918,-5.192,0.109,0.000556,1.85e-06,0.346,0.501,0.09808915194818468,0.36025848142164785,0.5577889447236181,0.8973684210526315,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
19,0.603,0.941,-4.191,0.0775,0.000213,0.0,0.545,0.689,0.1999276848947894,0.1938610662358643,0.22613065326633167,0.3447368421052631,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
