,valence,total_words,liveness,mode,key_11,class
0,0.374,0.21809369951534735,0.277,1.0,0.0,0.0
1,0.464,0.36025848142164785,0.307,1.0,0.0,0.0
2,0.336,0.1599353796445881,0.25,1.0,1.0,0.0
3,0.268,0.2956381260096931,0.298,1.0,0.0,0.0
4,0.408,0.17447495961227788,0.287,1.0,0.0,0.0
5,0.115,0.07592891760904684,0.418,1.0,0.0,0.0
6,0.356,0.024232633279483037,0.224,1.0,0.0,0.0
7,0.266,0.15508885298869146,0.343,1.0,1.0,0.0
8,0.476,0.20355411954765756,0.236,1.0,0.0,0.0
9,0.418,0.2649434571890146,0.202,0.0,0.0,0.0
10,0.494,0.2536348949919225,0.539,1.0,0.0,0.0
11,0.72,0.3424878836833603,0.275,1.0,0.0,0.0
12,0.624,0.26009693053311794,0.341,1.0,1.0,0.0
13,0.379,0.2827140549273021,0.584,1.0,0.0,0.0
14,0.597,0.26978998384491115,0.285,0.0,0.0,0.0
15,0.539,0.4119547657512117,0.404,1.0,0.0,0.0
16,0.753,0.407108239095315,0.0841,0.0,0.0,0.0
17,0.669,0.3893376413570275,0.269,1.0,0.0,0.0
18,0.501,0.36025848142164785,0.346,1.0,0.0,0.0
19,0.689,0.1938610662358643,0.545,1.0,1.0,0.0
20,0.201,0.25525040387722137,0.0872,1.0,0.0,0.0
21,0.575,0.24071082390953152,0.376,1.0,0.0,0.0
22,0.709,0.2924071082390953,0.0719,1.0,0.0,0.0
23,0.449,0.39741518578352186,0.0854,0.0,1.0,0.0
24,0.574,0.5831987075928918,0.122,1.0,0.0,0.0
25,0.651,0.5945072697899839,0.326,1.0,0.0,0.0
26,0.523,0.23101777059773831,0.158,1.0,0.0,0.0
27,0.683,0.3844911147011309,0.124,1.0,1.0,0.0
28,0.557,0.544426494345719,0.231,1.0,1.0,0.0
29,0.511,0.3651050080775445,0.696,1.0,0.0,0.0
30,0.644,0.46849757673667214,0.847,1.0,0.0,0.0
31,0.696,0.34894991922455576,0.312,1.0,0.0,0.0
32,0.485,0.5153473344103393,0.56,0.0,0.0,0.0
33,0.423,0.4668820678513732,0.0959,0.0,1.0,0.0
34,0.558,0.24071082390953152,0.381,1.0,0.0,0.0
35,0.71,0.2924071082390953,0.0709,1.0,0.0,0.0
36,0.517,0.39741518578352186,0.0863,0.0,1.0,0.0
37,0.598,0.5831987075928918,0.13,1.0,0.0,0.0
38,0.674,0.5945072697899839,0.311,1.0,0.0,0.0
39,0.455,0.23101777059773831,0.125,1.0,0.0,0.0
40,0.688,0.3844911147011309,0.307,1.0,0.0,0.0
41,0.567,0.544426494345719,0.217,1.0,1.0,0.0
42,0.564,0.3651050080775445,0.666,1.0,0.0,0.0
43,0.637,0.46849757673667214,0.845,0.0,1.0,0.0
44,0.704,0.34894991922455576,0.321,1.0,0.0,0.0
45,0.431,0.5153473344103393,0.701,0.0,0.0,0.0
46,0.424,0.3780290791599354,0.294,0.0,0.0,0.0
47,0.466,0.3537964458804524,0.348,1.0,0.0,0.0
48,0.553,0.3893376413570275,0.07,1.0,0.0,0.0
49,0.327,0.3521809369951535,0.315,1.0,0.0,0.0
50,0.67,0.33925686591276255,0.0775,1.0,0.0,0.0
51,0.408,0.4361873990306947,0.0327,1.0,0.0,0.0
52,0.498,0.44426494345718903,0.102,1.0,0.0,0.0
53,0.657,0.4555735056542811,0.48,1.0,0.0,0.0
54,0.163,0.148626817447496,0.118,1.0,0.0,0.0
55,0.588,0.4652665589660744,0.106,0.0,0.0,0.0
56,0.863,0.35056542810985464,0.017,1.0,0.0,0.0
57,0.458,0.20355411954765756,0.0714,1.0,0.0,0.0
58,0.599,0.3247172859450727,0.34,0.0,0.0,0.0
59,0.69,0.29079159935379645,0.088,1.0,0.0,0.0
60,0.647,0.23586429725363495,0.19,0.0,0.0,0.0
61,0.534,0.4119547657512117,0.254,0.0,0.0,0.0
62,0.4,0.16801292407108243,0.614,1.0,1.0,0.0
63,0.727,0.39095315024232635,0.189,1.0,0.0,0.0
64,0.594,0.39095315024232635,0.284,1.0,0.0,0.0
65,0.363,0.42810985460420037,0.66,1.0,0.0,0.0
66,0.437,0.4588045234248789,0.587,0.0,0.0,0.0
67,0.632,0.3247172859450727,0.51,0.0,0.0,0.0
68,0.593,0.3134087237479806,0.111,1.0,0.0,0.0
69,0.535,0.4798061389337642,0.358,0.0,0.0,0.0
70,0.774,0.44426494345718903,0.194,0.0,0.0,0.0
71,0.346,0.5153473344103393,0.366,1.0,0.0,0.0
72,0.468,0.5460420032310178,0.221,1.0,0.0,0.0
73,0.794,0.3537964458804524,0.554,0.0,1.0,0.0
74,0.705,0.605815831987076,0.286,1.0,0.0,0.0
75,0.413,0.37156704361873993,0.16,0.0,0.0,0.0
76,0.867,0.5993537964458805,0.434,1.0,0.0,0.0
77,0.485,0.35056542810985464,0.303,0.0,0.0,0.0
78,0.84,0.5815831987075929,0.337,1.0,0.0,0.0
79,0.41,0.6526655896607432,0.579,0.0,0.0,1.0
80,0.567,0.4491114701130856,0.537,0.0,0.0,1.0
81,0.606,0.6090468497576738,0.206,1.0,0.0,1.0
82,0.677,0.6575121163166397,0.157,1.0,0.0,1.0
83,0.587,0.5573505654281099,0.221,0.0,0.0,1.0
84,0.539,0.5088852988691438,0.203,0.0,0.0,1.0
85,0.271,0.3117932148626818,0.211,0.0,0.0,1.0
86,0.576,0.3311793214862682,0.0522,0.0,0.0,1.0
87,0.676,0.13408723747980617,0.37,0.0,1.0,1.0
88,0.559,0.8222940226171245,0.109,1.0,0.0,1.0
89,0.449,0.7027463651050081,0.1,1.0,0.0,1.0
90,0.444,0.5008077544426495,0.236,1.0,0.0,1.0
91,0.635,0.3747980613893377,0.177,1.0,0.0,1.0
92,0.56,0.4232633279483038,0.102,0.0,0.0,1.0
93,0.333,0.4588045234248789,0.298,1.0,0.0,1.0
94,0.676,0.4297253634894992,0.264,0.0,0.0,1.0
95,0.365,0.4798061389337642,0.341,0.0,0.0,1.0
96,0.481,0.4733441033925687,0.357,1.0,0.0,1.0
97,0.516,0.765751211631664,0.406,0.0,0.0,1.0
98,0.684,0.4119547657512117,0.823,1.0,0.0,1.0
99,0.475,0.2633279483037157,0.671,1.0,0.0,1.0
100,0.192,0.4119547657512117,0.366,0.0,0.0,1.0
101,0.649,0.4410339256865913,0.25,0.0,0.0,1.0
102,0.557,0.741518578352181,0.192,1.0,0.0,1.0
103,0.788,0.5331179321486269,0.108,0.0,0.0,1.0
104,0.66,0.6688206785137318,0.107,1.0,0.0,1.0
105,0.401,0.38126009693053314,0.25,0.0,0.0,1.0
106,0.214,0.4054927302100162,0.334,0.0,0.0,1.0
107,0.309,0.5476575121163166,0.431,1.0,0.0,1.0
108,0.804,0.5476575121163166,0.0462,1.0,1.0,1.0
109,0.272,0.2520193861066236,0.121,1.0,1.0,1.0
110,0.383,0.568659127625202,0.0903,0.0,0.0,1.0
111,0.522,0.2794830371567044,0.352,1.0,0.0,1.0
112,0.949,0.6607431340872375,0.0316,1.0,0.0,1.0
113,0.942,0.6946688206785138,0.163,0.0,0.0,1.0
114,0.545,0.3327948303715671,0.591,0.0,0.0,0.0
115,0.363,0.544426494345719,0.087,1.0,0.0,0.0
116,0.717,0.3150242326332795,0.609,1.0,0.0,0.0
117,0.586,0.46203554119547663,0.389,1.0,0.0,1.0
118,0.658,0.30210016155088854,0.313,1.0,0.0,1.0
119,0.255,0.39095315024232635,0.239,1.0,0.0,1.0
120,0.383,0.47495961227786754,0.0556,0.0,0.0,1.0
121,0.209,0.4054927302100162,0.0482,0.0,0.0,1.0
122,0.444,0.1324717285945073,0.156,0.0,1.0,1.0
123,0.521,0.0,0.38,0.0,1.0,1.0
124,0.826,0.2116316639741519,0.855,1.0,0.0,1.0
125,0.597,0.07592891760904684,0.587,0.0,0.0,1.0
126,0.443,0.1324717285945073,0.188,1.0,0.0,1.0
127,0.279,0.09046849757673668,0.922,1.0,0.0,1.0
128,0.308,0.09369951534733441,0.355,1.0,0.0,1.0
129,0.606,0.21809369951534735,0.259,1.0,0.0,1.0
130,0.498,0.2423263327948304,0.0607,1.0,0.0,0.0
131,0.682,0.4911147011308563,0.125,0.0,0.0,1.0
132,0.554,0.28594507269789987,0.216,1.0,0.0,1.0
133,0.671,0.3893376413570275,0.234,1.0,0.0,0.0
134,0.661,0.23424878836833607,0.0996,1.0,0.0,0.0
135,0.668,0.21001615508885302,0.114,0.0,0.0,0.0
136,0.514,0.7431340872374799,0.434,0.0,1.0,0.0
137,0.329,0.2116316639741519,0.0986,0.0,1.0,0.0
138,0.505,0.2423263327948304,0.0618,1.0,0.0,0.0
139,0.507,0.38772213247172865,0.304,0.0,0.0,1.0
140,0.621,1.0,0.168,1.0,0.0,1.0
