,total_words,tempo,duration_min,liveness,mode_minor,mode_major,class
0,201,103.858,3.43,0.277,0.0,1.0,0
1,289,173.643,4.73,0.307,0.0,1.0,0
2,165,135.163,3.24,0.25,0.0,1.0,0
3,249,125.773,3.62,0.298,0.0,1.0,0
4,174,149.928,2.82,0.287,0.0,1.0,0
5,113,114.522,2.66,0.418,0.0,1.0,0
6,81,135.006,2.28,0.224,0.0,1.0,0
7,162,137.218,3.53,0.343,0.0,1.0,0
8,192,117.869,3.39,0.236,0.0,1.0,0
9,230,197.073,3.51,0.202,1.0,0.0,0
10,223,100.982,3.24,0.539,0.0,1.0,0
11,278,135.45,3.19,0.275,0.0,1.0,0
12,227,98.045,3.61,0.341,0.0,1.0,0
13,241,104.663,3.14,0.584,0.0,1.0,0
14,233,106.037,2.95,0.285,1.0,0.0,0
15,321,113.839,3.33,0.404,0.0,1.0,0
16,318,87.269,3.36,0.0841,1.0,0.0,0
17,307,174.92,2.98,0.269,0.0,1.0,0
18,289,92.443,4.46,0.346,0.0,1.0,0
19,186,105.399,2.36,0.545,0.0,1.0,0
20,224,102.866,3.33,0.0872,0.0,1.0,0
21,215,154.286,3.14,0.376,0.0,1.0,0
22,247,172.124,3.19,0.0719,0.0,1.0,0
23,312,114.452,3.0,0.0854,1.0,0.0,0
24,427,162.011,3.82,0.122,0.0,1.0,0
25,434,101.588,3.35,0.326,0.0,1.0,0
26,209,154.165,3.18,0.158,0.0,1.0,0
27,304,186.341,3.05,0.124,0.0,1.0,0
28,403,133.026,3.4,0.231,0.0,1.0,0
29,292,160.153,3.4,0.696,0.0,1.0,0
30,356,196.133,3.52,0.847,0.0,1.0,0
31,282,133.044,2.82,0.312,0.0,1.0,0
32,385,126.044,3.46,0.56,1.0,0.0,0
33,355,131.333,3.68,0.0959,1.0,0.0,0
34,215,154.274,3.14,0.381,0.0,1.0,0
35,247,172.132,3.19,0.0709,0.0,1.0,0
36,312,114.471,3.0,0.0863,1.0,0.0,0
37,427,161.925,3.82,0.13,0.0,1.0,0
38,434,101.631,3.35,0.311,0.0,1.0,0
39,209,154.082,3.18,0.125,0.0,1.0,0
40,304,186.343,3.05,0.307,0.0,1.0,0
41,403,133.001,3.4,0.217,0.0,1.0,0
42,292,160.126,3.4,0.666,0.0,1.0,0
43,356,196.197,3.52,0.845,1.0,0.0,0
44,282,133.084,2.82,0.321,0.0,1.0,0
45,385,126.019,3.46,0.701,1.0,0.0,0
46,300,103.663,2.84,0.294,1.0,0.0,0
47,285,93.008,3.46,0.348,0.0,1.0,0
48,307,122.072,3.38,0.07,0.0,1.0,0
49,284,178.895,3.5,0.315,0.0,1.0,0
50,276,149.948,3.56,0.0775,0.0,1.0,0
51,336,199.935,3.53,0.0327,0.0,1.0,0
52,341,96.81,3.53,0.102,0.0,1.0,0
53,348,183.959,3.84,0.48,0.0,1.0,0
54,158,179.68,2.54,0.118,0.0,1.0,0
55,354,154.837,3.39,0.106,1.0,0.0,0
56,283,162.889,2.87,0.017,0.0,1.0,0
57,192,141.9,3.36,0.0714,0.0,1.0,0
58,267,140.765,3.4,0.34,1.0,0.0,0
59,246,128.406,3.52,0.088,0.0,1.0,0
60,212,168.891,3.1,0.19,1.0,0.0,0
61,321,107.919,3.7,0.254,1.0,0.0,0
62,170,101.989,4.11,0.614,0.0,1.0,0
63,308,178.064,3.25,0.189,0.0,1.0,0
64,308,163.945,3.39,0.284,0.0,1.0,0
65,331,146.894,4.29,0.66,0.0,1.0,0
66,350,133.969,3.57,0.587,1.0,0.0,0
67,267,136.038,3.86,0.51,1.0,0.0,0
68,260,160.04,3.57,0.111,0.0,1.0,0
69,363,120.055,3.91,0.358,1.0,0.0,0
70,341,172.061,3.31,0.194,1.0,0.0,0
